text,tweets_transform,etiqueta
"@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ) I'm doing great, thanks. How about you? ",coincidence stalking Twitter feed GSoC news    great  thanks  ,Contento
Trying to figure out a way to pay it forward ,Trying figure way pay forward,Neutro
oh oh oh!!! gonna go buy Twilight on DVD today  I have to extend my overdraft for the 2nd time in as many weeks so I may aswell!!,oh oh oh gonna go buy Twilight DVD today extend overdraft 2nd time many weeks may aswell,Contento
my very first twitter  awww,first twitter awww,Contento
@SimonBotes glad you like ,glad like,Contento
@theaptour thanks so much ,thanks much,Contento
 Please?: http://eluts.com/frontstore/Item/item_zoom.asp?item_num=3418&ampcatalog_num=3&ampmart_id=lutsdoll&amplevel=yes&ampmother_catalog_num=554,Please  ,Neutro
@SJS86 haha i saw that one the other day. sad. i'm entirely too addicted to that site now. endless laughs ,haha saw one day  sad   entirely addicted site  endless laughs,Molesto
@lolly2420 this is nuts! thanks  I am dying over heah!,nuts thanks dying heah,Contento
"@markhoppus hey mark, i want to know if the song &quotLife's So Boring&quot is really blink 182 , please tell me  doubt been on my head for years",hey mark  want know song quotLife  Boring quot really blink 182  please tell doubt head years,Molesto
just got home from school (: meant to be getting my hair cut .. but i cbf. lol dancing soon ,got home school   meant getting hair cut   cbf  lol dancing soon,Muy Feliz
Awwh babs... you look so sad underneith that shop entrance of &quotYesterday's Musik&quot  O-: I like the look of the new transformer movie ,Awwh babs  look sad underneith shop entrance quotYesterday  Musik quot  like look new transformer movie,Neutro
@lauredhel I just friended you on LJ ,friended LJ,Neutro
eating ice cream to reduce the heat ,eating ice cream reduce heat,Neutro
wow san diego is so beautiful. even more so now that we won  but whats a good game without a good fight(,wow san diego beautiful  even whats good game without good fight ,Contento
@epistemographer @digitalhumanist Doing a disciplinary PhD with the support/structure of a New Media program like that sounds heavenly ,disciplinary PhD support structure New Media program like sounds heavenly,Neutro
@thornbek Erin Esurance is so hot. Carry on ,Erin Esurance hot  Carry,Contento
@Boobookittifukk not there yet. And i beleive so  red carpet sighting i hope.,yet  beleive red carpet sighting hope ,Neutro
the cars in Fast and Furious get me excited ,cars Fast Furious get excited,Contento
@comeagainjen Jennifer ,Jennifer,Neutro
@betzitall Wall-E is a great battle for stress.   Yay for staying up all night and doing homework together!,WallE great battle stress  Yay staying night homework together,Muy Feliz
@honeytech Happy Morning! ,Happy Morning,Muy Feliz
"@SashaKane Um, my kids get up at 5am &amp need their breakfasts cooked, you ready? ",Um  kids get 5am amp need breakfasts cooked  ready ,Contento
@saad_83 I wasn't late  I was right on time,83  late right time,Neutro
@myk14 Thanks buddy *high fives* hehe ,Thanks buddy high fives hehe,Neutro
@sytycda Could not agree more!The unison&amp committment was incredible.Considering the pressure they r under made it all the more amazing ,Could agree unison amp committment incredible  Considering pressure r made amazing,Muy Feliz
@comeagainjen http://twitpic.com/2y2lx - and you are cooler than her she just wants the babiiesss O_O HAHAHAHA ,cooler wants babiiesss OO HAHAHAHA,Contento
@reesh heyyyyyy want to hook it up!! lol ,heyyyyyy want hook lol,Muy Feliz
Saddle Ranch Comedy night. Then back to the boy's house ,Saddle Ranch Comedy night  back boy  house,Neutro
Today I performed for the first and last time at the Grebel talent show. 4 exams left until undergrad is over ,Today performed first last time Grebel talent show  4 exams left undergrad,Neutro
@xShorty4Lifex white!! ,white,Neutro
@JonathanRKnight  i do embrace the simple life.  simple things like a new kids reunion makes me an extremely happy girl ,embrace simple life  simple things like new kids reunion makes extremely happy girl,Contento
had a wonderful Portland evening! Thanks Carrie ,wonderful Portland evening Thanks Carrie,Muy Feliz
6:37 in the morning and haven't been sleep   YAY!,6  37 morning  sleep YAY,Neutro
Headed off to Wal*Mart for more boxes. Uber excited ,Headed Wal Mart boxes  Uber excited,Contento
@axisportals scowls are a lot more temporary than adulthood ,scowls lot temporary adulthood,Neutro
I'm melting. *sighs* Serendipity is such a sweet sweet movie. I love it. , melting  sighs Serendipity sweet sweet movie  love ,Contento
@JonathanRKnight wake up with ah Jon tweet. The Best start for my day  thx Jon love You,wake ah Jon tweet  Best start day thx Jon love,Muy Feliz
Got an inspiration -&gt dyeing my hair! ,Got inspiration gt dyeing hair,Neutro
just  created this account...looking around ,created account  looking around,Neutro
@amyg0716 I'm gunnna do both of those things , gunnna things,Neutro
(@thuquoc) jizzin' in my pants excited about seeing ARMIN VAN BUUREN tomorrow ,  jizzin  pants excited seeing ARMIN VAN BUUREN tomorrow,Contento
@rogieking Congrats on the newborn! Our first is due in June ,Congrats newborn first due June,Neutro
Dodgers beat the Padres  Go Blue!,Dodgers beat Padres Go Blue,Neutro
@jbruin lol esp when your updates hit my phone... ,lol esp updates hit phone ,Muy Feliz
@JonathanRKnight I'm just glad you appreciate Iowa.    Come back in late summer when they're cutting hay...  best..smell.. EVER!, glad appreciate Iowa  Come back late summer  cutting hay  best   smell   EVER,Neutro
@vuittonretarded  awww. Is there anything i can do ,awww  anything,Contento
But I do not mind.  Goodnight,mind  Goodnight,Neutro
@mistressathenax oh lets let it be a surprise. ,oh lets let surprise ,Neutro
Proud future member of the R.B. ,Proud future member RB,Contento
@miss_tattoo heyy!  you got those pictures of Donnie's gift on the USB stick?! ,tattoo heyy got pictures Donnie  gift USB stick ,Neutro
Giant Drag &quotWicked Game&quot ? http://twt.fm/32811 #musicmonday - Better than the original &amp the commercial promo song for Nip/Tuck season 5! ,Giant Drag quotWicked Game quot  musicmonday Better original amp commercial promo song Nip Tuck season 5,Neutro
@web20classroom Fabulous post about WordAhead!  And overall loved your blog.,Fabulous post WordAhead overall loved blog ,Contento
Much Luv to @espressowoman54 &amp @tommyruffin who's now following me on twitter!! ,Much Luv amp  following twitter,Neutro
@KendallMassey @jclayville rocks. But don't tell her I said that ,rocks   tell said,Neutro
@Tiandrance ,,etiqueta
@yoavsegal Morning ,Morning,Neutro
finally back on twitter ,finally back twitter,Neutro
God sho love him some me  feeling really really blessed tonight++++++,God sho love feeling really really blessed tonight,Contento
@adamdexter i can't wait to see you buddy , wait see buddy,Neutro
@allan_at_rogue thanks Allan! They are photos from a Joolz Soiree I held up in Brisbane last year ,atrogue thanks Allan photos Joolz Soiree held Brisbane last year,Neutro
there is link about how to enjoy dark chocolate within the post..  http://chai-coffee.blogspot.com/2009/04/chocolate-flavoured-math.html,link enjoy dark chocolate within post  ,Neutro
ahhh loved this sunny day....I am working a good sun burn on my nose ,ahhh loved sunny day   working good sun burn nose,Muy Feliz
@FoamingBBQ I had to read it last semester.  By &quotread&quot I mean skim for keywords and read online outlines.   Got an A too ,read last semester  quotread quot mean skim keywords read online outlines  Got,Neutro
@dalecruse Yay! Love Box.net  My first business partner Sam Ghods is on the founding team. SO proud of him 4 building an excellent utility,Yay Love Box  net first business partner Sam Ghods founding team  proud 4 building excellent utility,Contento
@JonathanRKnight Glad to hear that you had such a great night! You rock &amp I hope tonight is just the 1st of many feel good shows for you! ,Glad hear great night rock amp hope tonight 1st many feel good shows,Muy Feliz
Anyone else catch Scott Bakula's &quotOh Boy&quot in #Chuck tonight?  ,Anyone else catch Scott Bakula  quotOh Boy quot Chuck tonight ,Neutro
@fatbellybella the media is a trip [period] we have to guard our minds...along with our hearts. Don't fret ms.badu UR THE BEST!! its true ,media trip  period  guard minds  along hearts   fret ms  badu UR BEST true,Muy Feliz
@theDebbyRyan  where!!?!? , ,Neutro
@Laatina MONDAYS ARE WHAT YOU MAKE OF IT. ,MONDAYS MAKE ,Neutro
Well in the past two days I have had 45 min. of sleep.  I'm going to watch TV while laying in bed and try to sleep.. Night peepers ,Well past two days 45 min  sleep   going watch TV laying bed try sleep   Night peepers,Molesto
I'm officially going to bed! Goodnight , officially going bed Goodnight,Neutro
I now have painting clothes!   ,painting clothes,Neutro
@msaleem LOL not yet my brutha from anotha mutha ,LOL yet brutha anotha mutha,Muy Feliz
ryanrossfanz  &lt-- FOLLOW THEM!  Ryan is uber!,ryanrossfanz lt FOLLOW Ryan uber,Neutro
@JonathanRKnight you close your eyes and pick one and hit reply. ,close eyes pick one hit reply ,Neutro
@ronashively Connections Academy has been great for our family...and thousands more across the country!  Happy to tell you more ,Connections Academy great family  thousands across country Happy tell,Muy Feliz
#nightcard The Star: what a wonderful card for a new beginning both for you and Ankie 1.0  Welcome! ,nightcard Star  wonderful card new beginning Ankie 1  0 Welcome,Muy Feliz
Loves the German bakeries in Sydney. Together with my imported honey it feels like home ,Loves German bakeries Sydney  Together imported honey feels like home,Neutro
I'm an uncle now! , uncle,Neutro
@katiehayes415 Levon...couldn't have said it better my self.  ,Levon   said better self ,Contento
@DolfinFan  Our picnic will be fabulous!,picnic fabulous,Contento
@DaveJMatthews Welcome back to NYC! ,Welcome back NYC,Contento
@nashipear Sorry I am talking to my best friend.. So I havent replied!!  But I can talk to you too!,Sorry talking best friend   havent replied talk,Contento
@corinmcblide oh ok then i am gonna go and buy one for when i come up there ,oh ok gonna go buy one come,Contento
tafe quiz then PHOTOSHOOT with my sezdawg ,tafe quiz PHOTOSHOOT sezdawg,Neutro
@berofx: good luck with your challenge , good luck challenge,Muy Feliz
oh oh found some clothes!!  And i love em xD,oh oh found clothes love em xD,Contento
Rocking out to No Doubt and gonna start up some more Neverwinter Nights ,Rocking Doubt gonna start Neverwinter Nights,Neutro
keepin it real.  ,keepin real ,Contento
&lt#¿NOMBRE?,lt NOMBRE ,Neutro
Had a good time at Eat n Park drinking a latte and playing Munchkin Impossible with @Chriswolfe2007. ,good time Eat n Park drinking latte playing Munchkin Impossible ,Neutro
@momentbymoment1 - I'm sure you and your site will! , sure site,Contento
@JonathanRKnight Good luck with the cruise!! Your gonna need it! ,Good luck cruise gonna need,Muy Feliz
@BrittyDS Don't blame me.  I just like good things. ), blame  like good things  ,Muy Feliz
@darkknight808 okay! I think little oven again on wednesday!  7-9pm?,okay think little oven wednesday 79pm ,Neutro
@LoriGama that's most excellent  lotsa people loving you hehe *Winks*, excellent lotsa people loving hehe Winks,Muy Feliz
is now using windows and tweetdeck... temporarily... ,using windows tweetdeck  temporarily ,Neutro
I Joined ShoeDazzle Society by @KimKardashian I am Excited! Can't wait for my Shoe selection!  Link: http://www.shoedazzle.com/,Joined ShoeDazzle Society Excited  wait Shoe selection Link ,Contento
"@robgokeemusic I know - I should have made some, taken them to my meetings &amp I should have foreseen my sister was going 2 pick up a stray ",know made  taken meetings amp foreseen sister going 2 pick stray,Neutro
@JonathanRKnight you can DIRECT MESSAGE us/me/all of us...whatever you want ,DIRECT MESSAGE us us  whatever want,Neutro
@mars2thestars here it is  http://tinyurl.com/hecklerxyz,,etiqueta
Week 2 of the fitness challenge and I'm starting off strong.  Just submitted my stats for the night and it ain't bad ,Week 2 fitness challenge  starting strong  submitted stats night  bad,Neutro
Your Following for a Reason.....  www.facesbyrozzj.com,Following Reason    www  facesbyrozzj  com,Neutro
"@mileycyrus Juz watchin' 3 eps. of your show HM, I must say I instantly became a fan of urs! D Lovin' ur humor so mucho! More power 2 u! ",Juz watchin  3 eps  show HM  must say instantly became fan urs Lovin  ur humor mucho power 2 u,Neutro
I have a new background  It didn't exactly work how I wanted but I was bored with the old one.,new background  exactly work wanted bored old one ,Neutro
If you are at #Paragon please vote my work!  LOL,Paragon please vote work LOL,Muy Feliz
@mrskutcher I keep forgetting you are in a different time zone than normal! I see your 'tweets' about the morning when it's 10:45pm here! ,keep forgetting different time zone normal see  tweets  morning  10  45pm,Neutro
@mantia Do you have an example of the animation? I mean a youtube video or something? I'm curious to see it work. Snowing there too? ,example animation  mean youtube video something   curious see work  Snowing ,Molesto
@TheRudeTypist Need an invite to hunch? ,Need invite hunch ,Neutro
@JonathanRKnight Thought you were a Mac ,Thought Mac,Neutro
@JonathanRKnight Maybe Jordan could help you answer a few? Just an idea.. ,Maybe Jordan could help answer  idea  ,Neutro
"Finally made my map of Panama. &quotWhat's a Panama, is that like an animal?&quot Haha love my friends ",Finally made map Panama  quotWhat  Panama  like animal  quot Haha love friends,Contento
@ManyaS ,,etiqueta
@ddlovato I will gladly give you the squirrel in Jenny's house if you join us. A SQUIRREL. It'll kill two birds with one stone! ,gladly give squirrel Jenny  house join us  SQUIRREL   kill two birds one stone,Contento
Got the vocals done! now time for the best part: the music track or bed! whichever you wanna call it lol ,Got vocals done time best part  music track bed whichever wanna call lol,Muy Feliz
@dfizzy Hey There ! How are you today? ,Hey today ,Neutro
@chocolate_dip lol i wasnt complaining just making sure @yoeyfreshier wasnt getting off before me but @tivon cleared that up ,dip lol wasnt complaining making sure wasnt getting cleared,Muy Feliz
@mademoiselledee That is one freaky movie. I like &quotI got life&quot ,one freaky movie  like quotI got life quot,Neutro
Megan is hanging out ,Megan hanging,Neutro
Going to bed and then up early to prep for an interview in Cleveland tomorrow ,Going bed early prep interview Cleveland tomorrow,Neutro
A healthy remedy for you AND your dog  http://PetParenthood.blogspot.com #dogs,healthy remedy dog dogs,Contento
That was sick. Soma rocks. ,sick  Soma rocks ,Hater
@staceysoleil  yep..lol  I was bored... Edward is hunting with the guys..,yep   lol bored  Edward hunting guys  ,Neutro
@victoriaerin HEYYYYYYYYYYY YOU ,HEYYYYYYYYYYY,Neutro
"Studying philosophy and math... &lt----BLAH aka listening to music and on twitter, facebook, and myspace ",Studying philosophy math  lt BLAH aka listening music twitter  facebook  myspace,Neutro
@JonathanRKnight There is no way on earth that you can answer everyone  Will you ask Donnie if he got the gift from my 9 yr old lastnight?,way earth answer everyone ask Donnie got gift 9 yr old lastnight ,Neutro
on my psp browser for the first time in over a year ,psp browser first time year,Contento
@aparajuli good luck to you ,good luck,Muy Feliz
Is glad the Angels won their first game of the season. ,glad Angels first game season ,Neutro
@misstoriblack I have absolutely no doubt that I will!  here's to your continued success ,absolutely doubt  continued success,Contento
Another day in the office... 2 days to go.  http://twitpic.com/2y2y1,Another day office  2 days go ,Neutro
@mattimassacre nice  yeah so wish I could afford those things,nice yeah wish could afford things,Muy Feliz
@loic I want to see that too! But it'll take so long to get 800 friends.. ,want see  take long get 800 friends  ,Neutro
Uploading the greatest cartoon from the Newspaper ever - regarding Twitter. ,Uploading greatest cartoon Newspaper ever regarding Twitter ,1.0
Studying with friends!  that's my update,Studying friends  update,Neutro
@piercethevic im glad everythings going good for you guys ,im glad everythings going good guys,Muy Feliz
@eddieizzard You wouldn't happen to still be in NYC doing gigs on Friday or Saturday next week? , happen still NYC gigs Friday Saturday next week ,Neutro
ty  @GR8FL - soon I upload too  Emmylou Harris ï¿½ I'll Be Your Baby Tonight (GR8FL)  ? http://blip.fm/~3x8zc,ty soon upload Emmylou Harris ï ½  Baby Tonight  GR8FL  ,Neutro
cheeck thiss hand cuz im marvelous ) boy.. idk hoow im gona make it threw this weeeek ,cheeck thiss hand cuz im marvelous  boy   idk hoow im gona make threw weeeek,1.0
Watching Seven Pounds with my mom. I hope i dont fall asleep. AfterMidnightProject TOMORROW! ,Watching Seven Pounds mom  hope dont fall asleep  AfterMidnightProject TOMORROW,Neutro
@nerdist  That photo IS Vegas ,photo Vegas,Neutro
@elissakim  yeah!  opening day too!,yeah opening day,Neutro
@iamdiddy I feel you I hate working out too! But our results will be MAJOR! When you look good you feel good! ,feel hate working results MAJOR look good feel good,Neutro
@fmsQuatro the A's are my AL team , AL team,Neutro
had a really good day    off to do some shoppping,really good day shoppping,Muy Feliz
@kamy775 ok..I did it...hope it works now ,ok    hope works,Contento
@amp451 good night  sweet dreamz,good night sweet dreamz,Contento
@i140 I hope that Scentsational doesn't get dissed ,hope Scentsational  get dissed,Neutro
will invite people to twitter. ,invite people twitter ,Neutro
@bluestreak23 @jasonandjodie Coming soon enough my friends - Big project in works for just that - Good new and only good news ,Coming soon enough friends Big project works Good new good news,Contento
@cookrn woohoo!  yeah that day i was rockin it hard core  ,woohoo yeah day rockin hard core,Molesto
@imalcolmjames no internship yet but ive got a place to stay. w/ any luck i'll spend some time in teaneck before heading back to utah ,internship yet ive got place stay  w luck  spend time teaneck heading back utah,Neutro
@larryczerwonka Exactly!! ,Exactly,Contento
i wonder how long i can stay up until i pass out and wake up again at 6 ,wonder long stay pass wake 6,Neutro
@DonnieWahlberg Great words of wisdom D-Dub!! Now can you tell the doctor to let me have some alcohol &amp caffeine!! ,Great words wisdom DDub tell doctor let alcohol amp caffeine,Muy Feliz
@Jonathanrknight so good knight and sleep well.  I know I will now!! ,good knight sleep well  know,Muy Feliz
exhausted! but glad i got to see UNC become national champs!  ,exhausted glad got see UNC become national champs,Neutro
Centrelink wasnt as bad as I thought it was going to be !!!! ,Centrelink wasnt bad thought going,Hater
@davesjessica wouldn't want you any other way! , want way,Neutro
Is hella excited cuz the Italian is here ,hella excited cuz Italian,Neutro
Jasmine and Bohdi are here for the holidays!! ,Jasmine Bohdi holidays,Neutro
@pfspleen I'm good! Had some very strange dreams last night but hey dreamin' means i'm sleepin'  How's you this morning?, good strange dreams last night hey dreamin  means  sleepin   morning ,Contento
going outside to jump on my trampoine  WOOOT!,going outside jump trampoine WOOOT,Neutro
@SophieVeronica today was rad. we made it into the finals for cross country YAY. love you sophie &lt3 (L) ps everythins cool with my mates ,today rad  made finals cross country YAY  love sophie lt3  L  ps everythins cool mates,Contento
@Suai Oh &quotShooter&quot is a good movie!  Only seen it once tho.  Gotta put that back on my &quotto watch&quot list! ,Oh quotShooter quot good movie seen tho  Gotta put back quotto watch quot list,Contento
@DonnieWahlberg I can tell u have spoken. FB &amp Twitter are on Fire right now!!  Hope ur feelin better love.  have a great night...,tell u spoken  FB amp Twitter Fire right Hope ur feelin better love  great night ,Contento
@TheAshBall ,,etiqueta
nodame cantabile is &lt3. I think I'm falling in love with classical music. ,nodame cantabile lt3  think  falling love classical music ,Contento
@markegli &amp @kariegli the dinner menu this week is something pasta-y (we have cheese?) and also chicken noodle soup. ,amp dinner menu week something pastay  cheese   also chicken noodle soup ,Molesto
on facebook ,facebook,Neutro
@Croconaw goodnight ,goodnight,Neutro
just got back from starbucks.. tried the tea with lemonade very good  miss gg already. 1st one!,got back starbucks   tried tea lemonade good miss gg already  1st one,Contento
BOOM BOOM POW-oops ,BOOM BOOM POWoops,Neutro
The Super Red Diva !!!  Stupid University ,Super Red Diva Stupid University,Neutro
This latest episode of NewNowNext is like full of awesome! ,latest episode NewNowNext like full awesome,Muy Feliz
@ PBnJen : Thanks for the great tour and making me even more excited to work in PR!  You Rock and so does S&ampB-would love to work there!, PBnJen  Thanks great tour making even excited work PR Rock ampBwould love work,Contento
@DonnieWahlberg YOU give me joy....and you have for years. You are such an amazing man and we are all lucky to know you. ,give joy   years  amazing man lucky know ,Contento
Artistic affirmation from a drunk lady was kinda just what I needed! ,Artistic affirmation drunk lady kinda needed,Neutro
@Honey3223  Honey goodnight I am up really early in the morning busy day will catch up with you later tomorrow ,Honey goodnight really early morning busy day catch later tomorrow,Neutro
Lamb Chowmein for dinner tonight.... hhhmmm with slightly roasted buttered dinner rolls! YUM YUM YUM... so hungry ,Lamb Chowmein dinner tonight   hhhmmm slightly roasted buttered dinner rolls YUM YUM YUM  hungry,Neutro
tweeting from my brand new Sony PSP... just because I CAN!!  ,tweeting brand new Sony PSP ,Neutro
@MussoMitchel Hey you should go on tour sometime with your brother! Metro Station is freakin awesome! ,Hey go tour sometime brother Metro Station freakin awesome,1.0
@juliaroy I've just seen your Flickr and I've fallen in love!!! Just Wonderful!!! Awesome... !!! , seen Flickr  fallen love Wonderful Awesome ,Muy Feliz
@danielc Sorry it wasn't Wrath of Khan.  But we made do. ,Sorry  Wrath Khan  made ,Molesto
"juggernaut, dr. doom, magneto, &amp xavier!  ahahah today was a good day n__n",juggernaut  dr  doom  magneto  amp xavier ahahah today good day nn,Muy Feliz
@ricardooooo we'll have a geek off next time you are in Tahoe!! But you need to get miss vicky jay reciting star wars by then , geek next time Tahoe need get miss vicky jay reciting star wars,Neutro
 aww dont make me blush!,aww dont make blush,Contento
trying to figure this thing out ,trying figure thing,Neutro
watching &quotThe Princess Bride&quot I want a Wesley!!! ,watching quotThe Princess Bride quot want Wesley,Neutro
@lisaholmes you can buy my fiances duplex in Terwillegar ,buy fiances duplex Terwillegar,Neutro
@apleaforaaron i could really eat some cheese  i have a hankering for some austrian smoked cheese. YUM!,could really eat cheese hankering austrian smoked cheese  YUM,Contento
@ddlovato I am so FUCKING jealous of you girl. Have fun though  xxx,FUCKING jealous girl  fun though xxx,Neutro
@ThaStevieG my bunnys name was Lucy  you can go ahead and guess who she was named after lmao,bunnys name Lucy go ahead guess named lmao,Muy Feliz
@pixelpipe any updates for iPhone OS 3.0 yet? I miss you guys ,updates iPhone OS 3  0 yet  miss guys,Neutro
